Weight Function,FixedWeightFunction-1.0,LinearWeightFunction-0.5,LinearWeightFunction-0.2,LinearWeightFunction-0.1,LinearWeightFunction-0.05,DecayWeightFunction--10.0,DecayWeightFunction--1.0,DecayWeightFunction--0.1,DecayWeightFunction--0.01,GaussianWeightFunction-0.0-1.5,GaussianWeightFunction-1.0-1.5,GaussianWeightFunction-2.0-1.5,GaussianWeightFunction-5.0-1.5,GaussianWeightFunction-10.0-1.5,
Reasoning Method,KNN,
Random Type:,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,
k,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Iteration,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Smart Random Simulation Expected Actions,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Smart Random Simulation Matrix Total,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,
Smart Random Simulation Matrix Accuracy,0.36014286,0.34985715,0.35357141,0.35214287,0.35614285,0.34985715,0.35042858,0.35985714,0.3454286,0.34457144,0.35357141,0.33914286,0.358,0.36371428,
Smart Random Simulation Global F1,0.35947236,0.34813446,0.35256708,0.3508691,0.35557705,0.34945467,0.3491118,0.359398,0.3449297,0.34358275,0.35286853,0.33873528,0.35660183,0.36334556,
Straight Line Simulation Expected Actions,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Straight Line Simulation Matrix Total,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,
Straight Line Simulation Matrix Accuracy,0.83357143,0.8324286,0.83657146,0.8347143,0.8345714,0.8395714,0.8307143,0.8302857,0.83842856,0.82842857,0.8298572,0.83185714,0.8312857,0.8427143,
Straight Line Simulation Global F1,0.83338666,0.8322288,0.83658266,0.83450806,0.83450204,0.8395835,0.8304509,0.8302798,0.83827657,0.82847226,0.8299861,0.83168364,0.83104676,0.84241986,
Zig Zag Simulation Expected Actions,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Zig Zag Simulation Matrix Total,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,
Zig Zag Simulation Matrix Accuracy,0.82514286,0.81714284,0.82214284,0.81685716,0.82514286,0.8264286,0.823,0.8247143,0.8262857,0.82914287,0.81514287,0.8217143,0.81614286,0.81371427,
Zig Zag Simulation Global F1,0.72352815,0.7115427,0.72631633,0.7162553,0.7310068,0.7349571,0.71013546,0.72148436,0.7197802,0.7336744,0.71129066,0.7278507,0.70717996,0.7123968,
Fixed Sequence Simulation Expected Actions,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Fixed Sequence Simulation Matrix Total,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,
Fixed Sequence Simulation Matrix Accuracy,0.6165714,0.6085714,0.61614287,0.61628574,0.6077143,0.6201429,0.60814285,0.61314285,0.61228573,0.60328573,0.62314284,0.6177143,0.6248571,0.6252857,
